file	segment	sentences	DeepSeek_dim1	DeepSeek_dim2	DeepSeek_dim4	GPT-4o_dim1	GPT-4o_dim2	GPT-4o_dim4	Claude_dim1	Claude_dim2	Claude_dim4
2020_MLa_101_2.docx	Elaboration	Unfortunately, many people are afraid of taking up such hobby because they think that there is a small chance that they can succeed in it.	L	L	H	L	H	H	L	H	H
2020_MLa_101_2.docx	Elaboration	However, a simple watching of different kinds of sports can inspire a person to start making some changes in his/her life and help him/her to understand what sport he/she is up to.	H	L	H	H	H	H	H	L	H
2020_MLa_101_2.docx	Argument	The other compelling reason is that watching sports is important for professional sportsmen as well as those who have just overcome their fears and just begun their sports paths.	H	H	H	H	H	H	H	H	H
2020_MLa_101_2.docx	Elaboration	While watching, they can see the mistakes of their competitors and then work on them to be better next time.	H	H	H	H	H	H	H	H	H
2020_MLa_101_2.docx	Elaboration	Speaking about beginners, watching professionals is important for them because if they start doing sports themselves, they have to know how to do everything right in this or that situation.	H	H	H	H	H	H	H	H	H
2020_MLa_101_2.docx	Conclusion	In conclusion, there is no doubt that many people just spend money and time getting nothing in return but I believe that it is also wise to take into account the fact that this is one of the ways to spend your free time.	H	L	L	H	L	L	H	H	L
2020_MLa_101_2.docx	Conclusion	Personally i do not see anything bad in spending it this way.	H	L	H	H	L	H	H	L	H
2020_MLa_101_2.docx	Irrelevant	The person who watches sports either was into sports in the childhood or is just not ready to achieve the heights.	L	L	L	L	H	L	L	L	L
2020_MLa_102_2.docx	Thesis	There is no question that a lot of people watch sports on TV and somewhere outside.	H	H	H	H	H	H	H	H	H
2020_MLa_102_2.docx	Thesis	The popular beleif is that such activity is a real waste of time.	H	L	H	L	L	H	H	L	H
2020_MLa_102_2.docx	Thesis	I partially agree with this statement.	H	H	H	L	H	L	H	H	H
2020_MLa_102_2.docx	Argument	There are some arguments for unnecessarity of watching sports.	H	L	L	H	L	L	H	L	H
2020_MLa_102_2.docx	Argument	The first of these is that people don't get any usefull information from it.	H	L	H	H	L	H	H	L	H
2020_MLa_102_2.docx	Argument	Unfortunatelly, watching sports doesn't teach us anything and people don't get any information about the surrounding world from it.	H	L	H	H	L	H	H	L	H
2020_MLa_102_2.docx	Elaboration	It would be better, for example, to go to the library or watch some scientific channeles.	H	L	L	H	L	H	H	L	L
2020_MLa_102_2.docx	Argument	Another argument is that if a person begin to watch sports on TV quite often, he starts to lead sedentary lifestyle.	H	L	L	H	L	L	H	L	L
2020_MLa_102_2.docx	Elaboration	For example, while doing such activity, people usually lie down on sofas eating some food.	H	H	H	H	H	H	H	H	H
2020_MLa_102_2.docx	Elaboration	That can even hurt a persons health.	H	L	H	H	L	H	H	L	L
2020_MLa_102_2.docx	Argument	There are, however, equally strong arguments in favour on watching sports on TV or at live events.	H	L	L	L	L	L	H	L	L
2020_MLa_102_2.docx	Argument	Firstly, people nowadays work a lot and they got really tired after job.	L	L	L	L	L	L	L	L	L
2020_MLa_102_2.docx	Argument	Watchig some sports can help a person to get rid of a stress.	H	L	H	H	L	H	L	L	L
2020_MLa_102_2.docx	Argument	Also it is a good way to get some positive emotions.	H	H	H	L	H	H	H	L	H
2020_MLa_102_2.docx	Elaboration	All of this can even promote the future productivity in work.	L	H	L	L	H	L	H	H	L
2020_MLa_102_2.docx	Argument	Another related argument is that watching some sports is a good reason to meet friends or gather family in order to spend time together.	H	H	H	L	H	L	L	H	L
2020_MLa_102_2.docx	Elaboration	It helps people better communicate with each other and have fun.	H	H	H	H	H	H	H	H	H
2020_MLa_102_2.docx	Conclusion	To conclude, there is a widely held view that watchig sports on TV or outside is quite unncessary.	H	L	L	L	L	L	L	L	L
2020_MLa_102_2.docx	Conclusion	And this point of view isn't unfounded.	H	H	H	L	H	H	L	H	H
2020_MLa_102_2.docx	Conclusion	But in contrast to this opinion there are a lot of strong arguments for positive infuential of such an activity.	H	L	H	L	L	H	L	L	H
2020_MLa_103_2.docx	Introductory	Sports have always been the kind of entertainment that brings people together and sometimes helps them to forget about their problems.	H	H	H	L	H	H	H	H	H
2020_MLa_103_2.docx	Thesis	Nevertheless, some people suppose that watching sports is useless activity that do not possess any brain activity.	H	L	H	H	L	H	H	L	H
2020_MLa_103_2.docx	Thesis	Actually, I agree with the second point of view, and I am going to support my opinion with some arguments.	H	H	H	H	H	L	H	H	L
2020_MLa_103_2.docx	Argument	To start with, there is a variety of activities that could be done instead of television.	H	H	H	H	H	L	H	H	L
2020_MLa_103_2.docx	Elaboration	For example, learning new language or teaching programming by yourself.	H	L	H	L	L	H	H	L	L
2020_MLa_103_2.docx	Elaboration	Secondly, simply not watching but doing sports by yourself, for instance, swimming, exercising in gym or jogging in park or around some buildings or neighboorhood.	H	L	L	L	L	L	H	L	L
2020_MLa_103_2.docx	Elaboration	Finally, there are myriad of ways of spending your leisure time with relatives and friends such as carting, playing volleyball, basketball or hockey.	H	L	H	H	L	L	H	L	H
2020_MLa_103_2.docx	Argument	However, there is an opposing suggestion that watching sports on TV channels is not useless.	L	H	H	L	H	L	H	L	H
2020_MLa_103_2.docx	Elaboration	To start with, it should be said that people in bars, pubs and cafes talk about routine and everyday problems while watching these programmes.	L	H	H	L	H	H	L	H	H
2020_MLa_103_2.docx	Elaboration	Then, it is one of the most efficient ways to develop communication skills by speaking with other sports fans in order to be in touch with recent news.	H	H	H	L	H	H	L	H	H
2020_MLa_103_2.docx	Elaboration	Also, during the match people blow out negative emotions and become less stressed after the match.	H	L	L	L	H	H	L	L	L
2020_MLa_103_2.docx	Conclusion	In conclusion, it ought to be mentioned that watching sports events on TV unite people from various social classes, professions, religions and statuses.	L	H	L	L	L	L	L	L	L
2020_MLa_103_2.docx	Conclusion	Nevertheless, there are other ways of spending free time intellectually and socially.	L	H	H	L	H	L	L	H	L
2020_MLa_104_2.docx	Thesis	It is popularly believed, that sport programms on TV or another sport translation are useless for everybody.	H	L	H	H	L	H	H	L	H
2020_MLa_104_2.docx	Thesis	It can be destructive not only for your time management, but for your health too.	H	H	H	H	H	H	H	H	L
2020_MLa_104_2.docx	Thesis	I totally agree with this statement, if you really like sport it will be more usefull for you to train instead watching TV.	H	L	H	H	L	H	H	L	H
2020_MLa_104_2.docx	Argument	We live in an age when many of us are sportsmens, because it is popular by all people all around the world.	L	L	H	L	L	L	L	L	H
2020_MLa_104_2.docx	Argument	And sport is a big part of our live.	L	L	H	L	L	H	L	L	H
2020_MLa_104_2.docx	Elaboration	Every year we can visit special sport ivents, or watch them on tv or in internet.	L	L	H	L	L	H	L	L	H
2020_MLa_104_2.docx	Elaboration	Nevertheless, there is type of people who is sitting before the desktop or tv and watching sport programms all the day.	L	L	H	L	L	H	H	L	H
2020_MLa_104_2.docx	Elaboration	These is radical sport fans, and in this case they cant enrich their brains, they just watching only sport.	H	L	H	L	L	H	H	L	H
2020_MLa_104_2.docx	Elaboration	By all mean it is harmfull for them.	L	L	H	L	L	H	L	L	H
2020_MLa_104_2.docx	Elaboration	It is better to watch special programms about science and culture to became an interesting person.	H	L	L	L	L	L	H	L	L
2020_MLa_104_2.docx	Elaboration	Sport programms waste your time, they can not give you a new usefull information about finance, economy, develop your worldview.	H	L	H	L	L	H	H	L	H
2020_MLa_104_2.docx	Argument	Moreover watching sportevents replaces for some people physical activity, they dont want to move, to try something new, to hang out with their friends in the park.	H	L	H	H	L	H	H	L	H
2020_MLa_104_2.docx	Elaboration	As well people who do not train suffer more from cancer and health problems in comparison to people who are engaged in sport on a regular basis.	H	L	H	H	L	H	H	L	H
2020_MLa_104_2.docx	Elaboration	Due to it fitness center or playing volleyball outside with your friends can benefit you much more profit as watching professional sport on TV or in internet.	H	L	H	H	L	H	H	L	H
2020_MLa_104_2.docx	Argument	Onthe other hand there is meaning that, some people watching TV only to relax after work	L	L	L	L	L	H	L	L	L
2020_MLa_104_2.docx	Elaboration	and in this case it can not be so harmull for your brain, it can be usefull, because your brain can rest and focus on important things.	L	L	H	H	L	H	H	L	H
2020_MLa_104_2.docx	Conclusion	To sum up, watching sport programs are not usefull for your brain, it can not gives you something usefull, what can develop your skills or make your body strengh and fit.	H	L	H	H	L	H	H	L	H
2020_MLa_104_2.docx	Conclusion	It can kill your time which you can spend on important things.	H	H	H	L	H	H	H	L	H
2020_MLa_104_2.docx	Conclusion	Speaking honestly, i now a lot of healthy people who refused to watch sport and benefit a lot of good things like more free time for family and trainings.	H	L	L	L	L	H	H	L	H
2020_MLa_104_2.docx	Conclusion	Last but not least watching another science programms can enreach your horizonts.	L	L	L	L	L	L	L	L	L
2020_MLa_105_2.docx	Thesis	There are people who consider watching aports on TV or at actual live events as loss of time.	H	L	H	L	L	H	H	L	H
2020_MLa_105_2.docx	Thesis	Personally, I disagree that this pastime is completely fruitless.	H	H	H	H	H	H	H	H	H
2020_MLa_105_2.docx	Argument	Firstly, watching sports on TV or attending sports events is an optional choice of everyone.	H	H	H	L	H	L	L	H	L
2020_MLa_105_2.docx	Elaboration	Many people choose it as a part of their leisure activity, as a way of of going out with friends, as their destiny to support one team or to be the most loyal fan of a particular sport.	H	L	H	H	L	H	H	L	H
2020_MLa_105_2.docx	Elaboration	The most important thing here, purpose of these activities is getting emotions, having an amazing pastime and emitting either positive or negative energy around.	H	L	H	L	L	H	H	L	H
2020_MLa_105_2.docx	Elaboration	However, this can ensue in addiction or even more - a gambling addiction with bets.	L	L	H	L	H	L	L	L	L
2020_MLa_105_2.docx	Elaboration	Nevertheless, it often does not lead to that dramatic extent.	L	H	H	L	H	H	L	H	H
2020_MLa_105_2.docx	Argument	Secondly, another point to consider is the perusing and studying the play or the moves of professional players by watching them play during the match, or a fight, or his/her perfomance..	H	L	L	H	L	L	H	L	L
2020_MLa_105_2.docx	Elaboration	I adhere to the point of view that amateurs of whatever sport can improve their skills and enjoy the professional elegance at the same time by watching the sports on TV, for example, so they can later apply it on practice.	H	L	H	H	L	H	H	L	H
2020_MLa_105_2.docx	Elaboration	Moreover, Taking after certain sportsman can be a way to nurture person's skills and developing a better appearance in a particular sport.	H	L	H	H	L	H	H	L	H
2020_MLa_105_2.docx	Conclusion	To sum up, I wanted to resume some points previously mentioned that watching sports may be percieved as a perfect amusement and the bad habit as well.	H	L	L	L	L	L	L	L	L
2020_MLa_105_2.docx	Conclusion	All in all, the most significant point is that these things depend only on the person's attitude towards them and the ability to learn something new from the his or her own experience.	H	L	H	H	L	H	L	L	H
2020_MLa_106_2.docx	Thesis	There are people who belive that watching sports and not participating is a wastage of person's free time.	H	L	H	L	L	H	H	L	H
2020_MLa_106_2.docx	Thesis	I completely disagree with this statement and consider that doing this still show certain positive effects on the beholder of a game.	H	L	H	H	L	H	H	L	H
2020_MLa_106_2.docx	Argument	First of all, while watching sport games or sport competitions, no matter on TV or in the stadium, the person can encourage a team and individual player to contunie to fight, to play or something else.	H	L	H	H	L	H	H	L	H
2020_MLa_106_2.docx	Elaboration	It is vital for athletes to see someone in the stands, becouse it makes them motivated and lifts the spirit.	H	L	H	H	L	H	H	L	H
2020_MLa_106_2.docx	Elaboration	For example, the great number of football players say that they prefer playng while the stadium is full of fans shoutng out word of encouragement and making supportive posters.	H	L	H	H	L	H	H	L	H
2020_MLa_106_2.docx	Elaboration	That is way watching sports is not a waste of time - you can help your favourite team, or even your country, win.	H	L	H	H	L	H	H	L	H
2020_MLa_106_2.docx	Argument	Secondly, if you are a player too, it is important to watch how you rivals and the world champions play.	H	L	H	H	L	H	H	L	L
2020_MLa_106_2.docx	Argument	It can help you create the best strategy for future workouts, for participation in contests and just broaden your horizons of understanding the sport.	H	H	H	H	H	H	H	H	H
2020_MLa_106_2.docx	Elaboration	For instance, the famous professional boxer Mike Tyson often watched games of other boxers for understanding their techniques and weak places.	H	L	H	H	H	H	H	L	H
2020_MLa_106_2.docx	Elaboration	It helped him and now he is a worldclass star.	L	H	H	L	L	H	L	L	H
2020_MLa_106_2.docx	Elaboration	This is the reason why it is essential for people not only play sport, but only watch it.	H	L	L	H	L	L	H	L	L
2020_MLa_106_2.docx	Argument	Thirdly, watching sport can motivetes fans to keep fit.	H	L	H	H	L	H	H	L	H
2020_MLa_106_2.docx	Elaboration	When you see person in a great fit, you want to be like him.	H	L	H	H	L	H	H	L	H
2020_MLa_106_2.docx	Elaboration	There are a lot of examples when people who adore watching games start playing it as an amateur.	H	L	H	H	H	L	H	L	H
2020_MLa_106_2.docx	Elaboration	That is why it is reasonable to watch sports.	H	H	L	H	H	L	H	H	H
2020_MLa_106_2.docx	Conclusion	To sum up, watching sports cannot be a waste of time.	H	H	H	H	H	H	H	H	H
2020_MLa_106_2.docx	Conclusion	It has a lot of positive consequenses for person such as encouragement of players, self-motivation and getting useful information for your career.	H	L	H	H	L	H	H	L	H
2020_MLa_107_2.docx	Thesis	Some people believe that viewing sports in real life or on TV is useless.	H	H	H	H	H	H	H	H	H
2020_MLa_107_2.docx	Thesis	This essay will reflect my opinion on the given statement and show some reasons for it.	H	H	H	H	H	L	H	H	L
2020_MLa_107_2.docx	Thesis	I strongly disagree with the fact that watching sport activities is a waste of time because most people tend to view these kinds of events due to their own interests and mental needs.	H	H	H	H	H	H	H	H	H
2020_MLa_107_2.docx	Elaboration	This means that TV streams or live sport games are able to make their viewers more happy and healthy.	H	H	H	L	H	H	L	L	H
2020_MLa_107_2.docx	Elaboration	For example, scientific reasearches show that the level of dofamine in a human's body increases while wathcing ceartain sport events.	H	L	H	L	L	H	H	L	H
2020_MLa_107_2.docx	Elaboration	This leads to a better circulation of blood to the brain and heart.	L	H	H	L	H	H	L	H	H
2020_MLa_107_2.docx	Argument	It is also a well-known fact that viewers are capable of motivating sports players.	H	H	L	H	H	L	H	H	L
2020_MLa_107_2.docx	Elaboration	Emotional support not only makes the team feel more safe and confident, but also creates a strong amount of concetration during a sport event.	H	L	H	H	L	H	H	L	H
2020_MLa_107_2.docx	Elaboration	For example, a TLC interview with professional tennis players has prooved that people experience a high level of responsibility in front of the audience which enables them to perform better and develop their skills in the future.	H	L	H	H	H	H	H	L	H
2020_MLa_107_2.docx	Conclusion	In conclusion, it is worth underlining that both players and viewers are helpful for each other during sport events.	H	H	H	H	H	H	L	H	H
2020_MLa_107_2.docx	Conclusion	Watching sports creates an envieronment that provides people with jjoy, development and positive emotions.	H	L	H	H	L	H	H	L	H
2020_MLa_108_2.docx	Introductory	Sport is being valuable part of our life during centuries.	H	L	H	L	L	H	H	L	H
2020_MLa_108_2.docx	Introductory	Olympic games, matches, events and e.t.c. unites a lot of people.	H	L	H	L	L	H	L	L	H
2020_MLa_108_2.docx	Introductory	But other part of population dislike pastime watching sports events.	H	L	H	L	L	H	L	L	H
2020_MLa_108_2.docx	Thesis	I think, that watching sports really gives a lot of fun.	H	H	L	H	H	L	H	L	H
2020_MLa_108_2.docx	Argument	Firstly, eople are fond of live sports events an TV shows connected with sports.	H	L	H	H	L	H	H	L	H
2020_MLa_108_2.docx	Elaboration	When fans see their favorites they feel kind of excitement and wait for their victory.	H	H	H	H	H	H	H	L	H
2020_MLa_108_2.docx	Elaboration	This pastime works like cinema or theatre, just for enternainmet.	H	L	H	H	L	H	H	L	L
2020_MLa_108_2.docx	Argument	The second point is that sports fans are fond of their teams ond sports favoritres.	H	L	L	H	L	L	H	L	L
2020_MLa_108_2.docx	Elaboration	Sports stimulates them to travel (like UFC or Olympic games), to collect merch, to have new datings.	H	L	H	H	L	H	H	L	H
2020_MLa_108_2.docx	Argument	Nonetheless, somone think, that watching sports is the waste of time.	L	L	H	L	L	H	L	L	H
2020_MLa_108_2.docx	Elaboration	These people tell, that you are not doing sports.	L	L	H	L	L	H	H	L	H
2020_MLa_108_2.docx	Elaboration	When you watch football match, you buy unhealthy snacks and alcohol sometimes.	L	L	L	L	L	L	L	L	L
2020_MLa_108_2.docx	Elaboration	You are sitting on one place and harm yor health.	L	L	H	L	L	H	L	L	H
2020_MLa_108_2.docx	Argument	Another point, that sports events don't improve your intelligence, like books, cinema or theatre.	L	L	L	L	L	L	L	L	L
2020_MLa_108_2.docx	Elaboration	Somebody think, that watching sports is a kind of degradation.	L	L	H	H	L	H	L	L	H
2020_MLa_108_2.docx	Argument	By the way, these points can be right in some situations, but watching of sports events does not promote harmful lifestyle as an axiom.	L	L	H	L	L	H	L	L	H
2020_MLa_108_2.docx	Argument	This is only individual choise.	L	L	L	L	L	L	L	L	L
2020_MLa_108_2.docx	Argument	Also, people watch sports events for fun, but a lot of them know all of the strategies in game, dates of greatest matches.	H	H	L	H	L	L	H	L	L
2020_MLa_108_2.docx	Argument	Do you still think, that watching sports is degradation?	L	L	L	L	H	L	L	L	H
2020_MLa_108_2.docx	Conclusion	In conclusion, all people spend their free time as they want.	L	H	L	L	H	L	L	H	L
2020_MLa_108_2.docx	Conclusion	In each pastime we can find advantages and disadvantages, but we all can do, what we like.	L	L	H	L	L	H	L	L	H
2020_MLa_109_2.docx	Thesis	Today there are people who belived that watching any sport is a useless time spent.	H	L	H	L	L	H	H	L	H
2020_MLa_109_2.docx	Thesis	I complitely disagree with this opinion.	H	L	H	H	L	H	H	L	H
2020_MLa_109_2.docx	Argument	Watching any sort games or individual competition is wonderfull way to spend your free time, by this hobby you can have a lot of profits.	H	L	H	H	L	L	H	L	L
2020_MLa_109_2.docx	Elaboration	To begin with watching Big sport events such as Olympic Games, Grand Prix and others.	H	L	H	L	L	L	L	L	H
2020_MLa_109_2.docx	Elaboration	The best thing is that humans, beenig hundreds of killometers away from the competition, can still suppory the team or his or her favorite athlete, feel proud of his or her country and his or her involvement in somethig great.	H	L	H	H	L	H	H	L	H
2020_MLa_109_2.docx	Elaboration	Also watching games on TV or at live sport events often motivates people to do their favorite sport themselves.	H	H	H	H	H	H	H	H	H
2020_MLa_109_2.docx	Argument	Moreover, watching sports together also helps you find like-minded people.	H	H	H	H	H	H	H	H	H
2020_MLa_109_2.docx	Elaboration	Often due to the fact that people are fans of same club they became friends for life.	H	L	H	H	L	H	H	L	H
2020_MLa_109_2.docx	Elaboration	Of course, watcing sports can also help people meet their lovers, because a shared hobby is a great Foundation for a long romantic or friendle relationsheep.	H	L	H	H	L	H	H	L	H
2020_MLa_109_2.docx	Argument	Also watching games or competitions in other countries helps fans travel.	H	L	H	H	H	H	H	H	L
2020_MLa_109_2.docx	Elaboration	Often they go abroad to watch their favorite srort and thus watch the world and get unforgettable experience.	H	L	H	H	L	H	H	L	H
2020_MLa_109_2.docx	Elaboration	So thanks watching sports events a person's life became more interesting and diverse.	H	L	H	H	L	H	H	L	H
2020_MLa_109_2.docx	Conclusion	In conclusion i would like to stress that my point of view is opposite to people who claim that watching any sport is a waste of time.	H	L	H	H	L	L	H	L	H
2020_MLa_109_2.docx	Conclusion	I strongly belive that we get a lot of wanderfull things from watching sports.	H	L	H	H	L	H	H	L	H
2020_MLa_110_2.docx	Introductory	Nowadays, sport has become an essential part of our everyday life.	H	H	H	H	H	H	H	H	H
2020_MLa_110_2.docx	Introductory	Modern technologies make it possible and convinient to observe sport events both via TV and live.	H	L	H	L	L	H	L	L	H
2020_MLa_110_2.docx	Thesis	However, some people claim that watching sports in any form is absolutely pointlees.	H	L	H	L	L	H	H	L	H
2020_MLa_110_2.docx	Thesis	I completely disagree with this statement and here are the reasons why.	H	H	H	H	H	L	H	H	H
2020_MLa_110_2.docx	Argument	Firstly, watching sports is an excelent way to experience strong emotions.	H	L	H	H	H	L	H	L	L
2020_MLa_110_2.docx	Elaboration	Rooting for the favourite team as well as being disappointed for their defeat encourages human brain to produce vivid feelings.	H	L	H	H	H	H	H	L	H
2020_MLa_110_2.docx	Elaboration	For instance, the vast majority of football fans go to the stadiums in order to get rid of stress and cheer up.	H	H	H	H	H	H	H	H	H
2020_MLa_110_2.docx	Argument	Besides, watching sports may have a positive effect on interpersonal relationships.	H	H	H	H	H	H	H	H	L
2020_MLa_110_2.docx	Elaboration	It has been scientifically proven that shared iterests and activities helps to break the and improve relationships among people.	H	L	H	H	L	H	H	L	H
2020_MLa_110_2.docx	Elaboration	Thus, warching sport competittions and championships with family and friends is a great wat to get closer.	H	L	H	H	L	H	H	L	H
2020_MLa_110_2.docx	Conclusion	On the whole, sport can be considered as something crucial these days.	H	H	H	H	H	H	H	H	H
2020_MLa_110_2.docx	Conclusion	The opinions about watching sports on TV or live may be different; however, there are several reasons that make it worth.	H	H	H	H	H	H	H	L	H
2020_MLa_111_2.docx	Introductory	In our century people a big choice for their leisure time, for example, watching sports events.	H	L	H	H	L	H	H	L	H
2020_MLa_111_2.docx	Thesis	However, some people think that this hobby is ridiculose.	H	L	H	L	L	H	H	L	H
2020_MLa_111_2.docx	Thesis	I accept that statement because it is not useful for our life, but i disagree that sport events are waste of time, they are so interesting.	H	L	H	H	L	H	H	L	H
2020_MLa_111_2.docx	Argument	Firstly, sport events outdated, and the don't give some useful knowledges and skills, especcialy horse running.	H	L	H	L	L	L	H	L	H
2020_MLa_111_2.docx	Elaboration	This kind of sport is not interesting, furthermore it causes passion which uselles for your financial life.	H	L	H	H	L	H	H	L	H
2020_MLa_111_2.docx	Argument	Secondly, every man who watch sport events don't notice how life goes on.	L	L	L	L	L	L	H	L	H
2020_MLa_111_2.docx	Elaboration	For instance, different movies like show a families where fathers come home and watch football match on TV with beer.	L	L	H	L	L	H	H	L	H
2020_MLa_111_2.docx	Elaboration	His children hate him because dad don't ask him about school or another life benefits.	L	L	H	L	L	L	H	L	H
2020_MLa_111_2.docx	Argument	Contrastly, when we watch some mix sports event its interesting.	H	L	L	H	L	L	H	L	L
2020_MLa_111_2.docx	Elaboration	For example, Olympic games, this event has many types of sports, and watching of this competition is really amazing.	H	L	H	H	L	H	H	L	H
2020_MLa_111_2.docx	Elaboration	When people watch Olympic games they feel honour of their sportsmen.	H	L	H	H	L	H	H	L	H
2020_MLa_111_2.docx	Elaboration	These feelings cause only positive influence for nation.	L	L	H	L	L	H	L	L	H
2020_MLa_111_2.docx	Argument	The next reason of watching sports is good is inspiration to do something, especially some figure skater Yudzuru Hanyu give the best advices for our health.	H	L	H	H	L	L	H	L	L
2020_MLa_111_2.docx	Conclusion	Overall, i think watching sports is not bad, because we have a positive influance for us?	H	L	L	L	L	H	H	L	H
2020_MLa_111_2.docx	Conclusion	but itis difficult try dont have passion	L	L	L	L	L	L	L	L	L
2020_MLa_112_2.docx	Introductory	The tendency of watching such international sport activities as champions league or olympic games is growing every year.	H	L	H	H	L	H	H	L	H
2020_MLa_112_2.docx	Introductory	They are the most popular and discussed events both on TV and on real life.	H	L	H	L	L	H	L	L	H
2020_MLa_112_2.docx	Thesis	Some people tend to think that watching sports is a completely useless waste of time.	H	H	H	H	H	L	H	H	L
2020_MLa_112_2.docx	Thesis	It might be true in some cases, although I completely disagree with the statement and this essay will prove my point of view.	H	H	H	H	H	L	H	H	H
2020_MLa_112_2.docx	Argument	Firstly, watching sports makes you feel a part of the biggest society in the world,	H	L	L	H	H	L	H	L	L
2020_MLa_112_2.docx	Elaboration	it can be taken the football players as an example: it is over than billions of football fans all over the globe, so the biggest advantage of the sports community is the multiplicity of people.	H	L	H	H	L	H	H	L	H
2020_MLa_112_2.docx	Elaboration	You can meet a lot of relations and get an unforgettable expirience with friends might have an enormous impact on your current mood.	H	L	H	H	L	L	H	L	L
2020_MLa_112_2.docx	Argument	Secondly, this kind of hobby might be very profitable spending of time.	H	L	H	H	H	L	H	L	L
2020_MLa_112_2.docx	Elaboration	Idf you master the sports sphere very well in a way of investigation such as bookmaker companies you can get a lot of money benefit on it.	H	L	H	H	L	H	H	L	L
2020_MLa_112_2.docx	Elaboration	So in the case you spend a lot of a lot of time observing some sport events of concrete sport disciplines, eventually you become an expert and you can make money on it.	H	L	H	H	L	H	H	L	H
2020_MLa_112_2.docx	Conclusion	In conclusion, watching sports may increase the quality of your life in such spheres as financial, educational and social.	H	H	H	H	H	H	H	L	H
2020_MLa_112_2.docx	Conclusion	Always need to take into consideration that well-educated people is in a short quantities, nowadays, so they are brilliantly appreciated today.	L	L	L	L	L	L	L	L	L
2020_MLa_112_2.docx	Conclusion	Having an interest in the sport sphere stands you out from the crowd and make your life happier and easier.	H	L	L	H	L	L	H	L	L
2020_MLa_113_2.docx	Introductory	Some people think that watching sports is not the best way to spend your time.	H	H	H	H	H	H	H	H	H
2020_MLa_113_2.docx	Thesis	This essay will discuss why it could be a waste of time and how to spend it better.	H	H	H	H	H	H	H	H	H
2020_MLa_113_2.docx	Thesis	I strongly agree, that nowadays watching a sports is not a good way to invest your time.	H	L	H	H	L	H	H	L	H
2020_MLa_113_2.docx	Argument	The first reason is that mostly people watch sports on TV, and that leads to a huge amount of further problems, such as health issues.	H	H	H	H	H	H	H	H	H
2020_MLa_113_2.docx	Argument	Also, most of the sport fans have anger issues when they watch sports even at live sports events.	H	L	H	H	H	H	H	H	H
2020_MLa_113_2.docx	Elaboration	You could rather play those sports with your friends, and your health condition will be even better and mostly it even helps with the anger issues	H	L	H	H	L	H	H	L	H
2020_MLa_113_2.docx	Argument	The second and not the most obvious reason is that watching sports often comes with the alcohol.	H	L	L	H	L	L	H	L	L
